--------------------------
Novi ispis: 50
416,239
416,238
416,238
416,238
417,239
416,238
416,238
416,238
416,238
416,238
416,238
416,238
416,238
416,238
416,239
416,239
416,239
416,238
416,238
416,239
416,238
416,238
416,239
416,239
417,238
417,238
418,237
419,235
420,233
422,232
417,240
416,236
0,0
416,235
416,234
416,234
416,236
416,237
416,238
415,238
--------------------------
Novi ispis: 100
430,185
430,185
430,185
430,185
430,185
430,185
430,185
430,185
430,185
430,184
430,182
430,180
430,180
429,177
428,175
427,174
425,171
425,170
424,170
424,170
422,168
421,166
419,164
418,164
416,163
414,162
413,161
411,160
410,159
408,159
431,186
430,185
0,0
430,185
430,185
430,185
430,185
430,185
430,185
430,185
--------------------------
Novi ispis: 150
355,151
355,151
351,149
346,147
343,146
340,145
340,145
338,146
337,146
334,146
332,146
330,147
328,147
328,147
326,148
322,149
317,149
313,150
307,151
303,152
299,152
299,152
294,153
291,153
288,154
283,155
279,156
274,156
274,156
269,157
356,152
355,151
0,0
354,150
350,148
342,145
331,141
322,137
316,136
312,137
